id,artist_genres,selected_genre,pop,rap,hip hop,dance,trap,rock,dance pop,latin,pop rap,reggaeton,country,house,contemporary,indie,latino,trap latino,post,alternative,edm,modern,teen,teen pop
4r3UvwePMdXPJrqFautgTq,thai indie pop; thai indie rock; thai pop,indie,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7t5m6zRwIEBxmPt8lNoPPi,canadian contemporary r&b; canadian pop; pop,contemporary,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
16OlG0GeSYrJZQpDd16i79,belgian hip hop; underground hip hop,hip hop,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4jL6WWKFDqCOPo2hC3VhSS,british soul; pop; pop soul; uk pop,pop,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5ImQ7axtZJe9B76ppFSaQs,bulgarian hip hop; bulgarian pop; bulgarian rock,rock,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2KpCpk6HjXXLb7nnXoXA5O,east coast hip hop; hip hop; rap; chicago rap; rap,hip hop,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4dDWUShR4mSzdu4Jo4eUwy,dutch hip hop; dutch pop; dutch rap pop; dutch hip hop; dutch rap pop,hip hop,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6lUY6MoqGgPnA27PHYxem5,alternative dance; art pop; dance pop; electronica; electropop; neo-synthpop; new rave,alternative,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2xaNN6CvBS802WslRMY668,drift phonk,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2aI21FnmY7TJVKeMaoQZ0t,canadian latin; canadian pop; dance pop; pop; pop rap,pop rap,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
